100000 100000
1 20052 1835
1 19744 11266
1 13965 13575
1 25652 2062
1 13519 8272
1 6259 4166
1 6022 18254
1 29268 24920
1 9850 14647
1 20609 31311
1 21332 5286
1 15488 20144
1 21342 19018
1 29330 16066
1 1674 30683
1 8411 27181
1 20406 28499
1 8644 4294
1 16942 15962
1 13726 30122
1 18546 18946
1 32648 30858
1 10298 21172
1 18834 22853
1 1976 29803
1 21538 22972
1 22557 30495
1 13463 12770
1 18782 901
1 1837 2578
1 11064 4085
1 30752 28582
1 24434 6571
1 26645 30661
1 16738 32307
1 12213 1148
1 9906 2335
1 18075 24592
1 23908 2555
1 20848 8851
1 19220 1667
1 23380 5558
1 4477 23827
1 16000 2782
1 23615 27486
1 42 22394
1 15328 3427
1 9129 27539
1 12816 2205
1 14554 13988
1 21297 14202
1 10690 20141
1 8470 2319
1 2933 3459
1 779 10506
1 30262 6250
1 32534 25576
1 10463 1509
1 6269 7016
1 31620 5581
1 30600 24383
1 25939 12193
1 16008 32269
1 6590 6941
1 12312 8848
1 221 9998
1 2723 20759
1 3853 12900
1 15655 22842
1 16350 19337
1 22840 4041
1 14380 23025
1 26183 25858
1 21387 1523
1 31268 11015
1 8425 21207
1 15042 8335
1 4718 7984
1 11579 5083
1 25767 32620
1 30227 12780
1 228 9897
1 28353 22003
1 24286 20938
1 13419 27913
1 10653 26826
1 5106 16928
1 11161 19025
1 30510 17977
1 17952 30085
1 14203 10456
1 30711 1571
1 31092 21685
1 14148 14030
1 30206 9397
1 8875 23975
1 21641 25880
1 19896 5917
1 31378 29940
1 11389 4871
1 29804 7138
1 25212 14320
1 23361 26615
1 30919 4273
1 23636 10230
1 16229 14406
1 17800 21955
1 24056 14298
1 15142 1307
1 22429 2852
1 31451 10883
1 1556 16118
1 20480 20094
1 20513 24083
1 7454 259
1 7985 8258
1 7858 8494
1 22593 4000
1 19245 19766
1 23548 6202
1 29759 3743
1 21027 13787
1 3413 5809
1 17458 13347
1 15201 7976
1 19265 13529
1 4569 17197
1 21800 28802
1 8450 25733
1 17638 25907
1 14702 28937
1 29252 26531
1 2243 7254
1 19637 19076
1 29631 25029
1 9601 4116
1 20857 25246
1 25890 23023
1 27626 29832
1 12270 2855
1 27051 29764
1 15863 20630
1 1280 12443
1 27184 883
1 13334 405
1 15569 6692
1 9865 24556
1 29948 6995
1 15401 4288
1 21920 18244
1 22782 14732
1 14750 27494
1 14986 28761
1 13098 5160
1 12877 7218
1 14964 4365
1 27023 14807
1 12168 32515
1 4697 22710
1 13171 19697
1 10693 25622
1 7336 28303
1 12151 3222
1 2722 12666
1 30316 26070
1 23754 26760
1 29427 3188
1 4250 24920
1 10744 26682
1 19203 22574
1 9608 24213
1 4364 24062
1 4754 2377
1 29629 25799
1 27627 17764
1 13115 26147
1 22165 11888
1 7476 22555
1 4929 23021
1 10877 25663
1 10514 26367
1 8186 5367
1 11684 13923
1 14015 27924
1 20045 24231
1 3956 7594
1 32419 12443
1 29950 20002
1 28734 24579
1 12892 10891
1 14271 9358
1 32718 11313
1 17168 26380
1 19261 20593
1 1262 20187
1 24535 12747
1 31141 17314
1 12538 14137
1 26907 14146
1 19539 19903
1 2576 19466
1 14151 24644
1 27300 11051
1 15249 416
1 16922 8043
1 26413 31990
1 4059 18461
1 17269 16452
1 11198 30800
1 1931 21816
1 11142 5703
1 18934 23622
1 16813 3881
1 30096 15863
1 31072 13050
1 1439 1668
1 29642 3274
1 19778 8099
1 2709 2860
1 19983 23713
1 31662 3306
1 25082 3249
1 585 9719
1 15480 1924
1 294 12453
1 1765 26649
1 8722 32536
1 7203 27095
1 3760 16635
1 10117 7129
1 9849 29041
1 10987 24201
1 22018 24911
1 12334 24432
1 29565 12680
1 10686 1868
1 17539 20969
1 18057 3683
1 4369 22534
1 15647 11032
1 26576 17012
1 21012 3772
1 30617 31800
1 7590 9382
1 8760 13440
1 21664 18310
1 11376 24209
1 6271 24822
1 12096 28161
1 4818 10066
1 11877 8998
1 24551 28106
1 30752 31694
1 3235 15029
1 12857 7216
1 11186 6184
1 14404 17443
1 17889 21192
1 12067 9358
1 10695 6876
1 29132 10528
1 24235 15271
1 15181 2625
1 16034 23796
1 12813 15176
1 31736 754
1 14420 2286
1 5585 16450
1 9741 31746
1 16 20047
1 20427 21599
1 632 32734
1 32523 12316
1 4881 16870
1 16313 13058
1 12238 7841
1 9973 16963
1 31596 30435
1 30486 10344
1 8605 26027
1 17647 13708
1 18022 503
1 594 12232
1 1222 29405
1 4563 10222
1 16536 2520
1 18382 1658
1 20410 22368
1 31916 25797
1 15983 28093
1 5217 1660
1 13058 17948
1 7993 1873
1 13485 31715
1 30677 4336
1 22968 21058
1 624 11573
1 8421 14346
1 29032 2204
1 31244 15811
1 13049 14585
1 16899 12793
1 27723 23657
1 13760 22486
1 9647 9352
1 8386 27638
1 3109 8676
1 19117 27510
1 27683 25522
1 26676 20814
1 18833 16320
1 4923 15841
1 14616 22187
1 3645 15571
1 24220 10322
1 22252 7451
1 13575 19594
1 19480 3929
1 841 9236
1 27346 32361
1 8861 5580
1 26321 22072
1 31245 11298
1 8725 11478
1 21304 9934
1 18377 461
1 27731 21696
1 3694 1970
1 27502 19030
1 25910 11257
1 5880 18386
1 4270 20749
1 30598 25611
1 31392 28321
1 18128 20323
1 14648 3136
1 20476 17144
1 4453 18988
1 9504 28703
1 30850 27749
1 19970 1038
1 22838 7176
1 21538 5080
1 8089 21210
1 20474 1183
1 20632 9509
1 23428 17412
1 12442 24003
1 3581 25827
1 15716 8312
1 25833 29758
1 32569 1669
1 15959 6774
1 30022 27001
1 18534 23745
1 8510 20555
1 2568 4824
1 30274 12966
1 26886 25840
1 12035 1668
1 20804 26092
1 20266 19454
1 24903 7633
1 21496 2914
1 16372 6266
1 22569 31111
1 32666 19597
1 12063 13917
1 12851 28333
1 15164 22984
1 4839 1265
1 912 17071
1 26834 20117
1 19636 23632
1 1799 21488
1 14581 19926
1 3541 12966
1 13237 18477
1 20809 31263
1 11279 26133
1 2291 11320
1 25274 21109
1 11501 13880
1 20272 10482
1 9242 30213
1 24591 17601
1 10156 8088
1 6847 29113
1 32745 5806
1 24149 13229
1 32302 4288
1 19895 6136
1 22580 4918
1 9473 17753
1 18578 8664
1 32296 15874
1 6275 12677
1 18654 2027
1 30442 13095
1 31157 12140
1 16531 19174
1 13446 22539
1 7612 1948
1 30228 20371
1 6356 11913
1 237 22374
1 4738 28489
1 4497 6163
1 14057 5122
1 7638 29483
1 22571 482
1 9099 10065
1 21035 7625
1 19036 31377
1 23448 26946
1 23797 24307
1 26663 27576
1 23915 17743
1 31 15335
1 14551 4706
1 12571 15760
1 24132 27170
1 31755 26481
1 15563 17743
1 25725 9588
1 27900 1355
1 1307 11047
1 2432 31275
1 19828 19052
1 31485 3854
1 19711 8818
1 15162 4269
1 12124 15075
1 21380 16948
1 19934 24415
1 6736 13393
1 31303 20266
1 29729 4746
1 26322 5409
1 7084 23251
1 20343 7155
1 13626 13152
1 18538 21133
1 12623 21176
1 21989 29910
1 17033 11787
1 12583 19613
1 27338 25029
1 24253 32463
1 25498 2147
1 31232 14574
1 26054 29573
1 23007 21182
1 5197 31557
1 29406 14402
1 3709 22472
1 6751 12262
1 27994 14610
1 3872 20734
1 12351 4383
1 27398 15983
1 23752 17455
1 25113 31148
1 21998 13153
1 29391 25061
1 11892 21891
1 27533 13179
1 31363 21033
1 26987 7094
1 25745 21244
1 13368 13498
1 2439 32597
1 7102 32183
1 24610 22027
1 14918 9057
1 12185 22921
1 16479 11424
1 22913 16931
1 11740 24456
1 31470 10922
1 7196 29323
1 10460 27453
1 32142 24045
1 19405 5731
1 30323 24953
1 24243 19543
1 13030 4723
1 5391 22691
1 24090 1485
1 11355 19952
1 7908 27293
1 27814 5149
1 15737 10447
1 7294 7310
1 22136 22551
1 27666 12487
1 16171 9002
1 7064 3897
1 32522 27438
1 24813 19035
1 640 16239
1 20603 7677
1 27378 32083
1 19808 11994
1 8190 11408
1 17613 26732
1 1536 27548
1 14507 27908
1 32219 102
1 23941 19481
1 4598 24899
1 20386 29408
1 29828 18987
1 9073 2846
1 13065 12837
1 21803 15419
1 17177 13568
1 23475 663
1 19555 17732
1 25281 4385
1 21487 14952
1 28735 28965
1 11428 3909
1 30963 21605
1 20749 25803
1 10335 19820
1 2653 7411
1 24549 25119
1 2224 8692
1 12591 11413
1 20627 11706
1 22478 32296
1 8647 9620
1 30241 14540
1 15170 24109
1 6521 21152
1 8311 23485
1 18810 14275
1 17367 25216
1 9925 32361
1 15000 27496
1 23764 8494
1 23989 20751
1 27428 13226
1 31798 18671
1 2458 17733
1 689 31957
1 11296 26188
1 15377 22675
1 27023 837
1 3990 24565
1 18897 2688
1 24605 8439
1 16199 4079
1 28834 5685
1 20328 25399
1 29187 3491
1 11947 19463
1 7686 26494
1 21415 24745
1 926 16771
1 17785 10967
1 26730 25182
1 10599 3791
1 25471 31077
1 21443 10410
1 5479 1670
1 24593 5097
1 8553 32382
1 5228 20817
1 19467 32588
1 5157 16121
1 25302 10470
1 9646 22177
1 20825 28202
1 4022 9797
1 1905 29207
1 20886 14066
1 5319 17725
1 15084 21977
1 7577 6002
1 9861 29602
1 3262 12743
1 23681 3586
1 9956 19643
1 24497 22416
1 25373 5806
1 10820 4564
1 11418 32408
1 7587 19873
1 29109 5882
1 10649 1445
1 9269 9493
1 28343 18239
1 3790 12379
1 24567 23952
1 9192 9763
1 10143 13013
1 10658 26016
1 21352 23540
1 26389 18452
1 3040 596
1 14045 31041
1 23309 8178
1 8918 13344
1 18003 16818
1 27939 14294
1 16279 17395
1 10869 2276
1 12709 15717
1 20873 21150
1 11215 3103
1 25587 31966
1 28887 14572
1 5147 18937
1 27920 9446
1 3205 4338
1 22463 13639
1 15445 26606
1 967 29051
1 19730 21224
1 9094 18298
1 9642 19110
1 1018 27220
1 7862 12268
1 808 32525
1 19456 32495
1 17854 2988
1 32578 22284
1 28663 23695
1 26673 10938
1 26047 21505
1 30138 11198
1 22040 22543
1 23692 18334
1 5564 21143
1 26326 18519
1 3331 30625
1 29010 27986
1 15624 17906
1 14722 4245
1 8199 30175
1 24890 11319
1 26890 19040
1 19294 21526
1 26309 30821
1 13805 30668
1 3518 6253
1 13630 222
1 28081 22100
1 29834 8503
1 5682 21356
1 24491 26069
1 11924 28368
1 6691 25027
1 17674 26613
1 26464 1351
1 6412 3970
1 26687 30044
1 25852 31330
1 20942 30562
1 27402 27415
1 342 17685
1 18773 25937
1 4505 23740
1 22866 8127
1 21848 8610
1 7794 18469
1 23320 24778
1 2047 19887
1 24102 3551
1 2631 9605
1 18649 19562
1 21245 15775
1 11287 6472
1 7388 4571
1 20506 10330
1 26253 5964
1 17012 19070
1 4299 29141
1 1361 28606
1 10181 10231
1 17405 6600
1 23492 18664
1 12454 21150
1 27917 14565
1 28514 31631
1 3849 6088
1 12916 2150
1 1699 30173
1 27595 31457
1 2034 19186
1 14283 12901
1 5912 25517
1 25936 25583
1 28778 14627
1 16112 20046
1 15313 26277
1 31105 32400
1 3951 12765
1 27611 14522
1 1414 22811
1 29663 22716
1 27030 7145
1 11449 16291
1 16582 12773
1 23137 8465
1 12677 9168
